Date,Open,High,Low,Close,Volume
2020-06-03,23.88184298506385,27.287217229608146,23.872997655583454,26.641523361206055,34950900
2020-06-04,28.75550466911736,30.745658124851612,25.650866762797037,26.53537940979004,13099600
2020-06-05,26.97763789846879,27.287217687177517,24.76635610351233,26.482311248779297,7450200
2020-06-08,25.82777290147093,28.295562589683076,25.341289878108178,27.41989517211914,4215200
2020-06-09,26.305404619185424,29.171225251373244,26.09312179684639,28.30440330505371,8371400
2020-06-10,28.392852684048574,29.01201216958203,27.03954950609446,27.464115142822266,2223000
2020-06-11,25.8454542914899,26.951094901467503,25.650862151480368,26.52652931213379,3715500
2020-06-12,26.92456068316714,27.50833879193052,26.64151695613928,27.216449737548828,2375300
2020-06-15,26.52653524469509,28.728971629888367,26.385013349933004,28.38401222229004,1592400
2020-06-16,28.746659605063122,28.941253457501617,27.57025791024657,28.286712646484375,2040200
2020-06-17,28.109815478549706,28.817426682643244,27.862151304055843,28.79973602294922,835900
2020-06-18,28.251331357483668,29.100464283907282,27.950596955112157,28.941251754760742,936400
2020-06-19,29.10047150006014,30.07343419798255,28.569761813253734,29.06509017944336,5628900
2020-06-22,29.029708261079954,29.17123016648458,28.100970545977805,28.295562744140625,1026900
2020-06-23,28.34862903360648,28.437966347586162,27.37566649311651,27.72947120666504,878400
2020-06-24,27.455274653129845,28.215954417815983,27.437583994467033,27.711782455444336,594500
2020-06-25,27.349131503935247,28.021361327719955,26.64152205104293,27.06608772277832,1119900
2020-06-26,27.092623199827194,27.552570207725715,26.844960724092672,26.951101303100586,509800
2020-06-29,27.366820951976624,28.490150697889856,26.977634926557066,27.80023193359375,1191100
2020-06-30,27.694097961420837,27.959452839208158,25.942762853737186,26.093130111694336,2363200
2020-07-01,26.579603000802788,26.96878901785164,25.252834098524968,26.04889678955078,1576200
2020-07-02,26.1373469135572,26.579603217929225,25.703935937721482,25.960445404052734,594300
2020-07-06,26.429236848396954,26.491154150122412,25.96929155938278,26.349632263183594,1088400
2020-07-07,26.11081270891831,26.526533029176363,26.11081270891831,26.21695327758789,607300
2020-07-08,26.535379409057832,26.959945074705,26.27002628979685,26.517688751220703,727800
2020-07-09,26.73881691370067,26.783043558294715,26.278869932366554,26.53537940979004,438200
2020-07-10,26.402700539076125,27.419889656666736,26.34078492913805,27.31374740600586,364400
2020-07-13,27.32259979814706,27.41989674581857,26.614990234375,26.614990234375,493000
2020-07-14,26.40270180337054,26.561914343448837,26.155037664684983,26.21695327758789,345800
2020-07-15,26.101966429824525,26.47346178078758,25.91621791080607,26.208106994628906,579000
2020-07-16,26.04005082535581,26.977633687695022,25.92506324520427,26.261178970336914,300100
2020-07-17,26.270027825697476,26.35847774590645,26.022363662719727,26.022363662719727,380900
2020-07-20,26.022364043881126,26.20811090352959,25.376670169282967,25.606643676757812,466500
2020-07-21,25.606644436133106,25.900301625867883,24.58945343792459,25.204191207885742,1565700
2020-07-22,25.12016265519462,25.429742466109936,24.589454648921823,24.607145309448242,1093200
2020-07-23,24.66021519271334,25.473967005541503,23.979141644546488,25.058246612548828,1133000
2020-07-24,24.784045297719445,25.19976564325025,24.05874518177999,25.067089080810547,440000
2020-07-27,24.996324449324078,25.64201819517722,24.87249323424917,25.341283798217773,289700
2020-07-28,25.33243738375744,26.799843967744447,25.040548327120455,26.110809326171875,751200
2020-07-29,26.41154912834627,26.712283574098667,25.235147333046854,26.544225692749023,1011000
2020-07-30,26.44693088465169,26.703440391918843,25.871997934630297,26.45577621459961,329300
2020-07-31,26.535376130104076,26.71227931246762,25.863146399025922,26.668052673339844,799800
2020-08-03,26.756509718973142,27.109430441910717,26.327520510887872,26.482311248779297,1548000
2020-08-04,26.58845163946591,26.986483034532778,25.10247001398174,25.606643676757812,1206500
2020-08-05,25.668560941374256,26.004675051020975,24.943260741288533,25.33244514465332,1721400
